Type, Price, quantity, date
YMH9, 26068.0, 2, 2019-02-25 11:45:41
YMH9, 26068.0, 2, 2019-02-25 11:45:44
YMH9, 26068.0, 2, 2019-02-25 11:45:46
YMH9, 26068.0, 2, 2019-02-25 11:45:51
YMH9, 26068.0, 2, 2019-02-25 11:45:53
YMH9, 26068.0, 2, 2019-02-25 11:45:54
YMH9, 26068.0, 2, 2019-02-25 11:45:55
YMH9, 26068.0, 2, 2019-02-25 11:45:56
YMH9, 26068.0, 2, 2019-02-25 11:45:57
YMH9, 26068.0, 2, 2019-02-25 11:46:00
YMH9, 26068.0, 2, 2019-02-25 11:46:02
YMH9, 26069.0, 1, 2019-02-25 11:46:03
YMH9, 26069.0, 1, 2019-02-25 11:46:04
YMH9, 26069.0, 1, 2019-02-25 11:46:05
YMH9, 26069.0, 1, 2019-02-25 11:46:06
YMH9, 26069.0, 1, 2019-02-25 11:46:07
YMH9, 26069.0, 1, 2019-02-25 11:46:08
YMH9, 26068.0, 1, 2019-02-25 11:46:09
YMH9, 26068.0, 1, 2019-02-25 11:46:10
YMH9, 26068.0, 1, 2019-02-25 11:46:11
YMH9, 26068.0, 1, 2019-02-25 11:46:12
YMH9, 26068.0, 1, 2019-02-25 11:46:13
YMH9, 26068.0, 1, 2019-02-25 11:46:15
YMH9, 26068.0, 1, 2019-02-25 11:46:16
YMH9, 26068.0, 1, 2019-02-25 11:46:18
YMH9, 26068.0, 1, 2019-02-25 11:46:19
YMH9, 26068.0, 1, 2019-02-25 11:46:20
YMH9, 26068.0, 1, 2019-02-25 11:46:21
YMH9, 26068.0, 1, 2019-02-25 11:46:22
YMH9, 26069.0, 1, 2019-02-25 11:46:23
YMH9, 26069.0, 1, 2019-02-25 11:46:24
YMH9, 26069.0, 1, 2019-02-25 11:46:27
YMH9, 26069.0, 1, 2019-02-25 11:46:28
YMH9, 26069.0, 1, 2019-02-25 11:46:29
YMH9, 26069.0, 1, 2019-02-25 11:46:30
YMH9, 26069.0, 1, 2019-02-25 11:46:33
YMH9, 26069.0, 1, 2019-02-25 11:46:35
YMH9, 26069.0, 1, 2019-02-25 11:46:37
YMH9, 26069.0, 1, 2019-02-25 11:46:39
YMH9, 26069.0, 1, 2019-02-25 11:46:42
YMH9, 26069.0, 1, 2019-02-25 11:46:43
YMH9, 26069.0, 1, 2019-02-25 11:46:44
YMH9, 26069.0, 1, 2019-02-25 11:46:45
YMH9, 26069.0, 1, 2019-02-25 11:46:46
YMH9, 26069.0, 1, 2019-02-25 11:46:48
YMH9, 26069.0, 1, 2019-02-25 11:46:50
YMH9, 26069.0, 1, 2019-02-25 11:46:52
YMH9, 26069.0, 1, 2019-02-25 11:46:53
YMH9, 26069.0, 1, 2019-02-25 11:46:57
YMH9, 26069.0, 1, 2019-02-25 11:46:58
YMH9, 26069.0, 1, 2019-02-25 11:46:59
YMH9, 26069.0, 1, 2019-02-25 11:47:00
YMH9, 26069.0, 2, 2019-02-25 11:47:01
YMH9, 26069.0, 2, 2019-02-25 11:47:03
YMH9, 26069.0, 1, 2019-02-25 11:47:06
YMH9, 26069.0, 2, 2019-02-25 11:47:10
YMH9, 26069.0, 2, 2019-02-25 11:47:12
YMH9, 26069.0, 2, 2019-02-25 11:47:18
YMH9, 26069.0, 2, 2019-02-25 11:47:20
YMH9, 26069.0, 2, 2019-02-25 11:47:21
YMH9, 26068.0, 1, 2019-02-25 11:47:22
YMH9, 26068.0, 1, 2019-02-25 11:47:23
YMH9, 26068.0, 1, 2019-02-25 11:47:24
YMH9, 26068.0, 1, 2019-02-25 11:47:25
YMH9, 26068.0, 1, 2019-02-25 11:47:27
YMH9, 26068.0, 1, 2019-02-25 11:47:28
YMH9, 26068.0, 1, 2019-02-25 11:47:29
YMH9, 26069.0, 1, 2019-02-25 11:47:30
YMH9, 26069.0, 1, 2019-02-25 11:47:32
YMH9, 26069.0, 1, 2019-02-25 11:47:33
YMH9, 26069.0, 1, 2019-02-25 11:47:35
YMH9, 26069.0, 1, 2019-02-25 11:47:36
YMH9, 26069.0, 1, 2019-02-25 11:47:39
YMH9, 26069.0, 2, 2019-02-25 11:47:39
YMH9, 26069.0, 2, 2019-02-25 11:47:40
YMH9, 26069.0, 2, 2019-02-25 11:47:43
YMH9, 26069.0, 2, 2019-02-25 11:47:45
YMH9, 26069.0, 2, 2019-02-25 11:47:46
YMH9, 26069.0, 2, 2019-02-25 11:47:49
YMH9, 26069.0, 2, 2019-02-25 11:47:52
YMH9, 26069.0, 2, 2019-02-25 11:47:53
YMH9, 26069.0, 1, 2019-02-25 11:47:54
YMH9, 26069.0, 1, 2019-02-25 11:47:57
YMH9, 26069.0, 1, 2019-02-25 11:47:58
YMH9, 26069.0, 1, 2019-02-25 11:48:01
YMH9, 26069.0, 1, 2019-02-25 11:48:02
YMH9, 26069.0, 1, 2019-02-25 11:48:04
YMH9, 26069.0, 1, 2019-02-25 11:48:06
YMH9, 26069.0, 1, 2019-02-25 11:48:10
YMH9, 26069.0, 1, 2019-02-25 11:48:13
YMH9, 26069.0, 1, 2019-02-25 11:48:14
YMH9, 26069.0, 1, 2019-02-25 11:48:15
YMH9, 26071.0, 1, 2019-02-25 11:48:18
YMH9, 26071.0, 1, 2019-02-25 11:48:19
YMH9, 26070.0, 2, 2019-02-25 11:48:20
YMH9, 26071.0, 1, 2019-02-25 11:48:21
YMH9, 26071.0, 1, 2019-02-25 11:48:22
YMH9, 26070.0, 2, 2019-02-25 11:48:23
YMH9, 26070.0, 2, 2019-02-25 11:48:24
YMH9, 26070.0, 2, 2019-02-25 11:48:27
YMH9, 26070.0, 2, 2019-02-25 11:48:30
YMH9, 26070.0, 2, 2019-02-25 11:48:31
YMH9, 26070.0, 2, 2019-02-25 11:48:32
YMH9, 26070.0, 2, 2019-02-25 11:48:33
YMH9, 26070.0, 2, 2019-02-25 11:48:34
YMH9, 26070.0, 2, 2019-02-25 11:48:35
YMH9, 26070.0, 2, 2019-02-25 11:48:36
YMH9, 26070.0, 2, 2019-02-25 11:48:37
YMH9, 26070.0, 2, 2019-02-25 11:48:40
YMH9, 26072.0, 1, 2019-02-25 11:48:42
YMH9, 26071.0, 1, 2019-02-25 11:48:42
YMH9, 26071.0, 1, 2019-02-25 11:48:44
YMH9, 26072.0, 1, 2019-02-25 11:48:45
YMH9, 26072.0, 1, 2019-02-25 11:48:47
YMH9, 26072.0, 1, 2019-02-25 11:48:48
YMH9, 26072.0, 1, 2019-02-25 11:48:49
YMH9, 26071.0, 1, 2019-02-25 11:48:49
YMH9, 26071.0, 1, 2019-02-25 11:48:51
YMH9, 26071.0, 1, 2019-02-25 11:48:52
YMH9, 26071.0, 1, 2019-02-25 11:48:53
YMH9, 26071.0, 2, 2019-02-25 11:48:54
YMH9, 26071.0, 2, 2019-02-25 11:48:56
YMH9, 26071.0, 2, 2019-02-25 11:48:57
YMH9, 26071.0, 1, 2019-02-25 11:49:00
YMH9, 26071.0, 1, 2019-02-25 11:49:01
YMH9, 26071.0, 1, 2019-02-25 11:49:03
YMH9, 26071.0, 1, 2019-02-25 11:49:04
